Accession,UniProtKB,EC_Number,COG,Chromosome,Source,Start,Stop,DNA_Length,Protein_Length,GenBank_Name,UniProt_GO,KEGG_Enzymes,KEGG_Pathways
EIC30273.1,H8GIT3,3.6.4.13,L,NZ_CM001475.1,chromosome,2899650,2903564,3914,1304,ATP-dependent helicase HrpA,GO:0003724,ko:K03578,NA
EIC30275.1,H8GIT5,4.1.99.14,L,NZ_CM001475.1,chromosome,2904377,2905369,992,330,DNA repair photolyase,GO:0016829,ko:K03716,NA
EIC31206.1,H8GGC6,4.2.99.18,L,NZ_CM001475.1,chromosome,3957560,3958222,662,220,endonuclease III,GO:0003677; GO:0004519; GO:0006284; GO:0019104; GO:0046872; GO:0051539; GO:0140078,ko:K10773,"ko03410,map03410"
EIC28134.1,H8GLD5,5.6.2.1,L,NZ_CM001475.1,chromosome,273301,275625,2324,774,"DNA topoisomerase I, bacterial",GO:0003677; GO:0003917; GO:0005694; GO:0006265; GO:0046872,ko:K03168,NA
EIC27879.1,H8GJ62,5.6.2.2,L,NZ_CM001475.1,chromosome,4535,6970,2435,811,"DNA gyrase, B subunit",GO:0003677; GO:0003918; GO:0005524; GO:0005694; GO:0005737; GO:0006261; GO:0006265; GO:0046872,ko:K02470,NA
EIC28223.1,H8GMI3,5.6.2.2,L,NZ_CM001475.1,chromosome,391870,394101,2231,743,"DNA topoisomerase IV, A subunit, proteobacterial",GO:0003677; GO:0003918; GO:0005524; GO:0005694; GO:0006265; GO:0007059; GO:0019897,"ko:K02469,ko:K02621",NA
EIC28300.1,H8GN71,5.6.2.2,L,NZ_CM001475.1,chromosome,496331,498937,2606,868,"DNA gyrase, A subunit",GO:0003677; GO:0003918; GO:0005524; GO:0005694; GO:0005737; GO:0006261; GO:0006265,ko:K02469,NA
EIC30852.1,H8GNU6,5.6.2.2,L,NZ_CM001475.1,chromosome,3575491,3577383,1892,630,"DNA topoisomerase IV, B subunit, proteobacterial",GO:0003677; GO:0003918; GO:0005524; GO:0005694; GO:0006265; GO:0007059,"ko:K02470,ko:K02622",NA
EIC29410.1,H8GM49,5.99.1.2,L,NZ_CM001475.1,chromosome,1837672,1839723,2051,683,DNA topoisomerase III,GO:0003677; GO:0003917; GO:0006265,ko:K03169,NA
EIC27889.1,H8GJ72,5.99.1.3,L,NZ_CM001475.1,chromosome,18553,19767,1214,404,Uncharacterized protein (DUF2220),GO:0000737; GO:0003677; GO:0005694,ko:K03166,NA
EIC29619.1,H8GP33,6.5.1.2,L,NZ_CM001475.1,chromosome,2082227,2084131,1904,634,NAD-dependent DNA ligase,GO:0003911; GO:0006260; GO:0006281; GO:0046872,ko:K01972,"ko03030,ko03410,ko03420,ko03430,map03030,map03410,map03420,map03430"
EIC27849.1,H8GRK7,,L,NZ_CM001476.1,plasmid,16131,18218,2087,695,hypothetical protein Metal_4018 (plasmid),GO:0005524,NA,NA
EIC27850.1,H8GRK8,,L,NZ_CM001476.1,plasmid,18533,19114,581,193,"site-specific recombinase, DNA invertase Pin (plasmid)",GO:0000150; GO:0003677,NA,NA
EIC27852.1,H8GRL0,,L,NZ_CM001476.1,plasmid,19381,24495,5114,1704,helicase family protein with metal-binding cysteine cluster (plasmid),GO:0003676; GO:0004386; GO:0005524,NA,NA
EIC27853.1,H8GRL1,,L,NZ_CM001476.1,plasmid,24492,27365,2873,957,"DNA/RNA helicase, superfamily II (plasmid)",GO:0004386; GO:0005524,NA,NA
EIC27856.1,H8GRL4,,L,NZ_CM001476.1,plasmid,32073,32360,287,95,hypothetical protein Metal_4026 (plasmid),NA,NA,NA
EIC27870.1,H8GRM8,,L,NZ_CM001476.1,plasmid,43906,45225,1319,439,Initiator Replication protein (plasmid),GO:0003887; GO:0006270,NA,NA
EIC27876.1,H8GJ59,,L,NZ_CM001475.1,chromosome,913,2229,1316,438,chromosomal replication initiator protein DnaA,GO:0003688; GO:0005524; GO:0005737; GO:0006270; GO:0006275,ko:K02313,"ko02020,ko04112,map02020,map04112"
EIC27878.1,H8GJ61,,L,NZ_CM001475.1,chromosome,3418,4506,1088,362,recF protein,GO:0003697; GO:0005524; GO:0005737; GO:0006260; GO:0006281; GO:0009432,ko:K03629,"ko03440,map03440"
EIC27880.1,H8GJ63,,L,NZ_CM001475.1,chromosome,7138,7927,789,263,transposase,GO:0003677; GO:0004803; GO:0006313,NA,NA
EIC27885.1,H8GJ68,,L,NZ_CM001475.1,chromosome,13086,13808,722,240,TnsA endonuclease,GO:0004519,NA,NA
EIC27886.1,H8GJ69,,L,NZ_CM001475.1,chromosome,13771,15771,2000,666,Mu transposase/integrase,GO:0003676; GO:0015074; GO:0032196,ko:K07497,NA
EIC27888.1,H8GJ71,,L,NZ_CM001475.1,chromosome,17074,18294,1220,406,transposase,GO:0003677; GO:0004803; GO:0006313,ko:K07493,NA
EIC27892.1,H8GLJ3,,L,NZ_CM001475.1,chromosome,23300,23650,350,116,transposase,NA,ko:K07484,NA
EIC27893.1,H8GJ76,,L,NZ_CM001475.1,chromosome,23638,23925,287,95,hypothetical protein Metal_0022,NA,"ko:K07483,ko:K07484,ko:K07497",NA
EIC27896.1,H8GJ79,,L,NZ_CM001475.1,chromosome,27839,28270,431,143,transposase,GO:0003677; GO:0004803; GO:0006313,ko:K07491,NA
EIC27953.1,H8GPE0,,L,NZ_CM001475.1,chromosome,82084,83139,1055,351,hypothetical protein Metal_0084,NA,NA,NA
EIC27990.1,H8GKI2,,L,NZ_CM001475.1,chromosome,119818,120581,763,254,transposase,GO:0003677; GO:0004803; GO:0006313,ko:K07492,NA
EIC27992.1,H8GKI4,,L,NZ_CM001475.1,chromosome,122307,122861,554,184,ADP-ribose pyrophosphatase,GO:0016787,ko:K08312,"ko00230,map00230"
EIC28016.1,H8GKK8,,L,NZ_CM001475.1,chromosome,151118,152518,1400,466,"phage head morphogenesis protein, SPP1 gp7",NA,NA,NA
EIC28026.1,H8GKL8,,L,NZ_CM001475.1,chromosome,159836,160922,1086,362,LOW QUALITY PROTEIN: DNA repair photolyase,GO:0016829; GO:0051536,NA,NA
EIC28069.1,H8GL70,,L,NZ_CM001475.1,chromosome,201829,202134,305,101,transposase,GO:0003677; GO:0004803; GO:0006313,ko:K07491,NA
EIC28136.1,H8GLD7,,L,NZ_CM001475.1,chromosome,276201,277331,1130,376,DNA protecting protein DprA,GO:0009294,ko:K04096,NA
EIC28316.1,H8GKC5,,L,NZ_CM001475.1,chromosome,517237,518193,956,318,"transposase, IS5 family",GO:0003677; GO:0004803; GO:0006313,ko:K07481,NA
EIC28360.1,H8GND1,,L,NZ_CM001475.1,chromosome,589154,589471,317,105,putative endonuclease containing a URI domain,GO:0004519,ko:K07461,NA
EIC28402.1,H8GNY0,,L,NZ_CM001475.1,chromosome,638128,638622,494,164,hypothetical protein Metal_0552,GO:0003677; GO:0004803; GO:0006313,ko:K07491,NA
EIC28410.1,H8GNY8,,L,NZ_CM001475.1,chromosome,647649,648014,365,121,transposase,GO:0003677,ko:K01152,NA
EIC28411.1,H8GNY9,,L,NZ_CM001475.1,chromosome,648635,651517,2882,960,"DNA/RNA helicase, superfamily II, SNF2 family",GO:0004386; GO:0005524,NA,NA
EIC28419.1,H8GNZ7,,L,NZ_CM001475.1,chromosome,660622,667068,6446,2148,helicase family protein with metal-binding cysteine cluster,GO:0003676; GO:0004386; GO:0005524,ko:K06877,NA
EIC28438.1,H8GP16,,L,NZ_CM001475.1,chromosome,691087,691965,878,292,transposase family protein,NA,NA,NA
EIC28452.1,H8GP30,,L,NZ_CM001475.1,chromosome,709599,713861,4262,1420,putative helicase,GO:0003677; GO:0004386; GO:0005524,ko:K06889,NA
EIC28467.1,H8GPK5,,L,NZ_CM001475.1,chromosome,727920,728195,275,91,bacterial nucleoid DNA-binding protein,GO:0003677; GO:0030261,ko:K03530,NA
EIC28468.1,H8GPK6,,L,NZ_CM001475.1,chromosome,728525,730546,2021,673,hypothetical protein Metal_0623,NA,ko:K07459,NA
EIC28476.1,H8GPL4,,L,NZ_CM001475.1,chromosome,741843,745664,3821,1273,"DNA/RNA helicase, superfamily II",GO:0004386; GO:0005524,NA,NA
EIC28477.1,H8GPL5,,L,NZ_CM001475.1,chromosome,745837,747657,1820,606,putative ATP-dependent endonuclease of the OLD family,GO:0004519; GO:0005524,ko:K07459,NA
EIC28480.1,H8GLJ3,,L,NZ_CM001475.1,chromosome,751447,751797,350,116,transposase,NA,ko:K07484,NA
EIC28481.1,H8GJ76,,L,NZ_CM001475.1,chromosome,751785,752072,287,95,hypothetical protein Metal_0637,NA,"ko:K07483,ko:K07484,ko:K07497",NA
EIC28483.1,H8GPM1,,L,NZ_CM001475.1,chromosome,753722,754147,425,141,single stranded DNA-binding protein,GO:0003697; GO:0006260,ko:K03111,"ko03030,ko03430,ko03440,map03030,map03430,map03440"
EIC28504.1,H8GPP2,,L,NZ_CM001475.1,chromosome,775540,776712,1172,390,transposase,GO:0003677; GO:0004803; GO:0006313,ko:K07493,NA
EIC28507.1,H8GPP5,,L,NZ_CM001475.1,chromosome,779223,781808,2585,861,DNA mismatch repair protein MutS,GO:0003684; GO:0005524; GO:0006298; GO:0030983,ko:K03555,"ko03430,map03430"
EIC28512.1,H8GPQ0,,L,NZ_CM001475.1,chromosome,787586,788758,1172,390,transposase,GO:0003677; GO:0004803; GO:0006313,ko:K07493,NA
EIC28529.1,H8GPR7,,L,NZ_CM001475.1,chromosome,798107,798403,296,98,transposase,GO:0003677; GO:0004803; GO:0006313,ko:K07483,NA
EIC28530.1,H8GPR8,,L,NZ_CM001475.1,chromosome,798400,799263,863,287,transposase,GO:0003676; GO:0015074,ko:K07497,NA
EIC28553.1,H8GJJ4,,L,NZ_CM001475.1,chromosome,822959,823725,766,255,transposase,GO:0003677; GO:0004803; GO:0006313,ko:K07492,NA
EIC28558.1,H8GQ99,,L,NZ_CM001475.1,chromosome,830523,831292,769,256,transposase,GO:0003677; GO:0004803; GO:0006313,ko:K07492,NA
EIC28611.1,H8GQV2,,L,NZ_CM001475.1,chromosome,890282,891853,1571,523,mismatch repair ATPase (MutS family),GO:0005524; GO:0006298; GO:0016021; GO:0030983,ko:K03555,"ko03430,map03430"
EIC28645.1,H8GQY6,,L,NZ_CM001475.1,chromosome,924093,925049,956,318,"transposase, IS5 family",GO:0003677; GO:0004803; GO:0006313,ko:K07481,NA
EIC28706.1,H8GFV5,,L,NZ_CM001475.1,chromosome,1005084,1005617,533,177,transposase,GO:0003677; GO:0004803; GO:0006313,ko:K07491,NA
EIC28733.1,H8GFY2,,L,NZ_CM001475.1,chromosome,1025069,1025665,596,198,recombination protein RecR,GO:0003677; GO:0006281; GO:0006310; GO:0046872,ko:K06187,"ko03440,map03440"
EIC28771.1,H8GGH5,,L,NZ_CM001475.1,chromosome,1067184,1068122,938,312,hypothetical protein Metal_0951,GO:0003676; GO:0004518,NA,NA
EIC28773.1,H8GLJ3,,L,NZ_CM001475.1,chromosome,1070375,1070725,350,116,transposase,NA,ko:K07484,NA
EIC28774.1,H8GJ76,,L,NZ_CM001475.1,chromosome,1070713,1071000,287,95,hypothetical protein Metal_0955,NA,"ko:K07483,ko:K07484,ko:K07497",NA
EIC28776.1,H8GGI0,,L,NZ_CM001475.1,chromosome,1074030,1074323,293,97,putative endonuclease containing a URI domain,GO:0004519,ko:K07461,NA
EIC28818.1,H8GGM2,,L,NZ_CM001475.1,chromosome,1119210,1121051,1841,613,"excinuclease ABC, C subunit",GO:0003677; GO:0005737; GO:0006289; GO:0009380; GO:0009381; GO:0009432,ko:K03703,"ko03420,map03420"
EIC28833.1,H8GGN7,,L,NZ_CM001475.1,chromosome,1137125,1138954,1829,609,DNA mismatch repair protein MutL,GO:0005524; GO:0006298; GO:0016887; GO:0030983; GO:0032300,ko:K03572,"ko03430,map03430"
EIC28929.1,H8GKC5,,L,NZ_CM001475.1,chromosome,1247151,1248107,956,318,"transposase, IS5 family",GO:0003677; GO:0004803; GO:0006313,ko:K07481,NA
EIC28934.1,H8GHV0,,L,NZ_CM001475.1,chromosome,1254460,1254999,539,179,transposase,GO:0003677; GO:0004803; GO:0006313,ko:K07491,NA
EIC28954.1,H8GKC5,,L,NZ_CM001475.1,chromosome,1280953,1281909,956,318,"transposase, IS5 family",GO:0003677; GO:0004803; GO:0006313,ko:K07481,NA
EIC28958.1,H8GKC5,,L,NZ_CM001475.1,chromosome,1286211,1287167,956,318,"transposase, IS5 family",GO:0003677; GO:0004803; GO:0006313,ko:K07481,NA
EIC28962.1,H8GHX8,,L,NZ_CM001475.1,chromosome,1291686,1293215,1529,509,"phage head morphogenesis protein, SPP1 gp7",NA,NA,NA
EIC29036.1,H8GQY6,,L,NZ_CM001475.1,chromosome,1377597,1378553,956,318,"transposase, IS5 family",GO:0003677; GO:0004803; GO:0006313,ko:K07481,NA
EIC29038.1,H8GIL1,,L,NZ_CM001475.1,chromosome,1379187,1379555,368,122,hypothetical protein Metal_1232,NA,NA,NA
EIC29049.1,H8GIM2,,L,NZ_CM001475.1,chromosome,1392019,1393239,1220,406,transposase,GO:0003677; GO:0004803; GO:0006313,ko:K07493,NA
EIC29051.1,H8GIM4,,L,NZ_CM001475.1,chromosome,1398802,1399911,1109,369,transposase family protein,GO:0003677; GO:0004803; GO:0006313,NA,NA
EIC29061.1,H8GJJ4,,L,NZ_CM001475.1,chromosome,1406239,1407005,766,255,transposase,GO:0003677; GO:0004803; GO:0006313,ko:K07492,NA
EIC29088.1,H8GJ98,,L,NZ_CM001475.1,chromosome,1460892,1462055,1163,387,site-specific recombinase XerD,GO:0003677; GO:0006310; GO:0015074,NA,NA
EIC29101.1,H8GQY6,,L,NZ_CM001475.1,chromosome,1472248,1473204,956,318,"transposase, IS5 family",GO:0003677; GO:0004803; GO:0006313,ko:K07481,NA
EIC29102.1,H8GJB2,,L,NZ_CM001475.1,chromosome,1473335,1474003,668,222,metal-dependent hydrolase,GO:0016787,NA,NA
EIC29139.1,H8GJE9,,L,NZ_CM001475.1,chromosome,1508450,1508764,314,104,hypothetical protein Metal_1342,NA,ko:K07481,NA
EIC29140.1,H8GJF0,,L,NZ_CM001475.1,chromosome,1509726,1510346,620,206,hypothetical protein Metal_1345,NA,NA,NA
EIC29141.1,H8GJF1,,L,NZ_CM001475.1,chromosome,1510397,1510858,461,153,hypothetical protein Metal_1346,GO:0003677,NA,NA
EIC29142.1,H8GJF2,,L,NZ_CM001475.1,chromosome,1511258,1511785,527,175,hypothetical protein Metal_1347,NA,NA,NA
EIC29143.1,H8GJF3,,L,NZ_CM001475.1,chromosome,1512257,1513219,962,320,"transposase, IS5 family",GO:0003677; GO:0004803; GO:0006313,NA,NA
EIC29292.1,H8GKX0,,L,NZ_CM001475.1,chromosome,1705597,1706142,545,181,hypothetical protein Metal_1509,GO:0003676; GO:0004518,NA,NA
EIC29308.1,H8GLE3,,L,NZ_CM001475.1,chromosome,1723405,1726713,3308,1102,"CRISPR-associated helicase Cas3, subtype I-F/YPEST",NA,ko:K07012,NA
EIC29315.1,H8GLI6,,L,NZ_CM001475.1,chromosome,1735477,1735770,293,97,hypothetical protein Metal_1532,NA,"ko:K07483,ko:K07484,ko:K07497",NA
EIC29316.1,H8GLI5,,L,NZ_CM001475.1,chromosome,1735758,1736108,350,116,transposase,NA,ko:K07484,NA
EIC29345.1,H8GLI0,,L,NZ_CM001475.1,chromosome,1771714,1772439,725,241,hypothetical protein Metal_1563,GO:0016021,NA,NA
EIC29346.1,H8GLI1,,L,NZ_CM001475.1,chromosome,1772687,1774216,1529,509,transposase,GO:0003677; GO:0015074,NA,NA
EIC29347.1,H8GLI2,,L,NZ_CM001475.1,chromosome,1775150,1775810,660,219,LOW QUALITY PROTEIN: transposase,GO:0003676; GO:0015074,ko:K07497,NA
EIC29348.1,H8GLI3,,L,NZ_CM001475.1,chromosome,1775850,1776917,1067,355,transposase,GO:0003677; GO:0004803; GO:0006313,NA,NA
EIC29350.1,H8GLI5,,L,NZ_CM001475.1,chromosome,1778591,1778941,350,116,transposase,NA,ko:K07484,NA
EIC29352.1,H8GLI7,,L,NZ_CM001475.1,chromosome,1779286,1779384,98,32,hypothetical protein Metal_1571,NA,NA,NA
EIC29353.1,H8GLI8,,L,NZ_CM001475.1,chromosome,1779429,1779644,215,71,hypothetical protein Metal_1572,NA,ko:K07497,NA
EIC29354.1,H8GLI9,,L,NZ_CM001475.1,chromosome,1779830,1780258,428,142,transposase,GO:0003677; GO:0004803; GO:0006313,ko:K07491,NA
EIC29355.1,H8GLJ0,,L,NZ_CM001475.1,chromosome,1780335,1780541,206,68,transposase,GO:0003677; GO:0004803; GO:0006313,"ko:K07483,ko:K07497",NA
EIC29357.1,H8GJ76,,L,NZ_CM001475.1,chromosome,1782606,1782893,287,95,hypothetical protein Metal_1577,NA,"ko:K07483,ko:K07484,ko:K07497",NA
EIC29358.1,H8GLJ3,,L,NZ_CM001475.1,chromosome,1782881,1783231,350,116,transposase,NA,ko:K07484,NA
EIC29360.1,H8GJ76,,L,NZ_CM001475.1,chromosome,1789652,1789939,287,95,hypothetical protein Metal_1580,NA,"ko:K07483,ko:K07484,ko:K07497",NA
EIC29361.1,H8GLJ6,,L,NZ_CM001475.1,chromosome,1789927,1790110,183,61,"LOW QUALITY PROTEIN: IS66 Orf2 like protein, partial",NA,ko:K07484,NA
EIC29362.1,H8GLJ7,,L,NZ_CM001475.1,chromosome,1790211,1790475,264,88,"LOW QUALITY PROTEIN: hypothetical protein Metal_1582, partial",NA,"ko:K07483,ko:K07484,ko:K07497",NA
EIC29371.1,H8GLK6,,L,NZ_CM001475.1,chromosome,1797121,1798248,1127,375,"CRISPR-associated protein Cas7/Cse4/CasC, subtype I-E",NA,ko:K19124,NA
EIC29374.1,H8GLK9,,L,NZ_CM001475.1,chromosome,1800207,1802960,2753,917,CRISPR-associated helicase Cas3/CRISPR-associated endonuclease Cas3-HD,GO:0003676; GO:0004519; GO:0005524,"ko:K07012,ko:K19123",NA
EIC29390.1,H8GM29,,L,NZ_CM001475.1,chromosome,1818760,1819566,806,268,"hydrolase, TatD family",GO:0016888,ko:K03424,NA
EIC29425.1,H8GPP2,,L,NZ_CM001475.1,chromosome,1857837,1859009,1172,390,transposase,GO:0003677; GO:0004803; GO:0006313,ko:K07493,NA
EIC29426.1,H8GM65,,L,NZ_CM001475.1,chromosome,1861430,1861969,539,179,transposase,GO:0003677; GO:0004803; GO:0006313,ko:K07491,NA
EIC29455.1,H8GLI5,,L,NZ_CM001475.1,chromosome,1904175,1904525,350,116,transposase,NA,ko:K07484,NA
EIC29483.1,H8GMT1,,L,NZ_CM001475.1,chromosome,1930658,1931353,695,231,DnaA regulatory inactivator Hda,GO:0032297,"ko:K02313,ko:K10763","ko02020,ko04112,map02020,map04112"
EIC29495.1,H8GMU3,,L,NZ_CM001475.1,chromosome,1942070,1942576,506,168,transposase,GO:0003677; GO:0004803; GO:0006313,ko:K07491,NA
EIC29573.1,H8GKC5,,L,NZ_CM001475.1,chromosome,2021783,2022739,956,318,"transposase, IS5 family",GO:0003677; GO:0004803; GO:0006313,ko:K07481,NA
EIC29599.1,H8GNK6,,L,NZ_CM001475.1,chromosome,2050287,2054531,4244,1414,Lhr-like helicase,GO:0003676; GO:0004386; GO:0005524,ko:K03724,NA
EIC29627.1,H8GP41,,L,NZ_CM001475.1,chromosome,2091946,2092701,755,251,transposase,GO:0003677; GO:0004803; GO:0006313,NA,NA
EIC29643.1,H8GP57,,L,NZ_CM001475.1,chromosome,2110029,2111336,1307,435,AAA ATPase,GO:0003677; GO:0006260; GO:0006281; GO:0006310; GO:0009378,ko:K07478,NA
EIC29649.1,H8GP63,,L,NZ_CM001475.1,chromosome,2118008,2119750,1742,580,single-stranded-DNA-specific exonuclease RecJ,GO:0003676; GO:0006281; GO:0006310; GO:0008409,ko:K07462,"ko03410,ko03430,ko03440,map03410,map03430,map03440"
EIC29655.1,H8GKC5,,L,NZ_CM001475.1,chromosome,2126799,2127755,956,318,"transposase, IS5 family",GO:0003677; GO:0004803; GO:0006313,ko:K07481,NA
EIC29714.1,H8GPT5,,L,NZ_CM001475.1,chromosome,2197044,2197607,563,187,transposase,GO:0003677; GO:0004803; GO:0006313,ko:K07491,NA
EIC29735.1,H8GKC5,,L,NZ_CM001475.1,chromosome,2224907,2225864,957,318,"LOW QUALITY PROTEIN: transposase, IS5 family",GO:0003677; GO:0004803; GO:0006313,ko:K07481,NA
EIC29763.1,H8GPY4,,L,NZ_CM001475.1,chromosome,2258210,2258686,476,158,hypothetical protein Metal_1999,GO:0003677,NA,NA
EIC29786.1,H8GKC5,,L,NZ_CM001475.1,chromosome,2283366,2284322,956,318,"transposase, IS5 family",GO:0003677; GO:0004803; GO:0006313,ko:K07481,NA
EIC29808.1,H8GQI1,,L,NZ_CM001475.1,chromosome,2312852,2313283,431,143,transposase,GO:0003677; GO:0004803; GO:0006313,ko:K07491,NA
EIC29810.1,H8GQI3,,L,NZ_CM001475.1,chromosome,2314471,2316150,1679,559,DNA repair protein RecN,GO:0005524; GO:0006281; GO:0006310,ko:K03631,NA
EIC29847.1,H8GQM0,,L,NZ_CM001475.1,chromosome,2348572,2348913,341,113,hypothetical protein Metal_2091,GO:0016021,NA,NA
EIC29852.1,H8GKC5,,L,NZ_CM001475.1,chromosome,2355020,2355976,956,318,"transposase, IS5 family",GO:0003677; GO:0004803; GO:0006313,ko:K07481,NA
EIC29865.1,H8GR38,,L,NZ_CM001475.1,chromosome,2371924,2372610,686,228,"site-specific recombinase, DNA invertase Pin",GO:0000150; GO:0003677,NA,NA
EIC29871.1,H8GR44,,L,NZ_CM001475.1,chromosome,2375835,2377406,1571,523,hypothetical protein Metal_2116,GO:0003677; GO:0006310; GO:0015074,NA,NA
EIC29905.1,H8GR78,,L,NZ_CM001475.1,chromosome,2424739,2425770,1031,343,protein RecA,GO:0003684; GO:0003697; GO:0005524; GO:0005737; GO:0006281; GO:0006310; GO:0008094; GO:0009432,ko:K03553,"ko03440,map03440"
EIC29910.1,H8GR83,,L,NZ_CM001475.1,chromosome,2431391,2434843,3452,1150,ATPase involved in DNA repair,NA,ko:K03546,NA
EIC29914.1,H8GR87,,L,NZ_CM001475.1,chromosome,2438654,2438941,287,95,hypothetical protein Metal_2162,NA,"ko:K07483,ko:K07484,ko:K07497",NA
EIC29915.1,H8GR88,,L,NZ_CM001475.1,chromosome,2438929,2439279,350,116,transposase,NA,ko:K07484,NA
EIC29933.1,H8GRA6,,L,NZ_CM001475.1,chromosome,2463331,2463810,479,159,single stranded DNA-binding protein,GO:0003697; GO:0006260; GO:0006281; GO:0006310,ko:K03111,"ko03030,ko03430,ko03440,map03030,map03430,map03440"
EIC29977.1,H8GKC5,,L,NZ_CM001475.1,chromosome,2519667,2520623,956,318,"transposase, IS5 family",GO:0003677; GO:0004803; GO:0006313,ko:K07481,NA
EIC29978.1,H8GG54,,L,NZ_CM001475.1,chromosome,2520775,2524506,3731,1243,ATPase involved in DNA repair,NA,ko:K03546,NA
EIC29979.1,H8GG55,,L,NZ_CM001475.1,chromosome,2524503,2525747,1244,414,exonuclease SbcD,GO:0004519; GO:0006260; GO:0006310; GO:0008408,ko:K03547,NA
EIC29986.1,H8GG62,,L,NZ_CM001475.1,chromosome,2531332,2532210,878,292,transposase family protein,NA,NA,NA
EIC29992.1,H8GG68,,L,NZ_CM001475.1,chromosome,2543301,2544138,837,278,transposase,NA,NA,NA
EIC30030.1,H8GGR7,,L,NZ_CM001475.1,chromosome,2591901,2593256,1355,451,CRISPR type III-B/RAMP module RAMP protein Cmr6,NA,ko:K19142,NA
EIC30031.1,H8GGR8,,L,NZ_CM001475.1,chromosome,2593271,2593630,359,119,CRISPR type III-B/RAMP module-associated protein Cmr5,NA,ko:K19141,NA
EIC30032.1,H8GGR9,,L,NZ_CM001475.1,chromosome,2593623,2594555,932,310,CRISPR type III-B/RAMP module RAMP protein Cmr4,NA,ko:K09000,NA
EIC30033.1,H8GGS0,,L,NZ_CM001475.1,chromosome,2594701,2595861,1160,386,CRISPR type III-B/RAMP module-associated protein Cmr3,NA,ko:K09127,NA
EIC30035.1,H8GGS2,,L,NZ_CM001475.1,chromosome,2598758,2599885,1127,375,hypothetical protein Metal_2297,NA,ko:K07061,NA
EIC30074.1,H8GGW1,,L,NZ_CM001475.1,chromosome,2661963,2662712,749,249,DNA replication protein,GO:0005524,NA,NA
EIC30086.1,H8GLJ3,,L,NZ_CM001475.1,chromosome,2677993,2678343,350,116,transposase,NA,ko:K07484,NA
EIC30087.1,H8GJ76,,L,NZ_CM001475.1,chromosome,2678331,2678618,287,95,hypothetical protein Metal_2359,NA,"ko:K07483,ko:K07484,ko:K07497",NA
EIC30093.1,H8GHE1,,L,NZ_CM001475.1,chromosome,2683560,2684606,1046,348,transposase family protein,GO:0003677; GO:0004803; GO:0006313,ko:K07495,NA
EIC30097.1,H8GHE5,,L,NZ_CM001475.1,chromosome,2687579,2688235,656,218,nuclease-like protein,NA,NA,NA
EIC30105.1,H8GHF3,,L,NZ_CM001475.1,chromosome,2692488,2693741,1253,417,transposase,GO:0003677; GO:0004803; GO:0006313,NA,NA
EIC30110.1,H8GHF8,,L,NZ_CM001475.1,chromosome,2697841,2698821,980,326,site-specific recombinase XerD,GO:0003677; GO:0006310; GO:0015074,ko:K04763,NA
EIC30166.1,H8GI22,,L,NZ_CM001475.1,chromosome,2773653,2775416,1763,587,hypothetical protein Metal_2444,NA,NA,NA
EIC30169.1,H8GI25,,L,NZ_CM001475.1,chromosome,2780084,2780665,581,193,"site-specific recombinase, DNA invertase Pin",GO:0000150; GO:0003677,NA,NA
EIC30170.1,H8GI26,,L,NZ_CM001475.1,chromosome,2780914,2783976,3062,1020,"transposase, TnpA family",GO:0004803; GO:0006313,NA,NA
EIC30220.1,H8GJJ4,,L,NZ_CM001475.1,chromosome,2844330,2845096,766,255,transposase,GO:0003677; GO:0004803; GO:0006313,ko:K07492,NA
EIC30292.1,H8GIV2,,L,NZ_CM001475.1,chromosome,2922395,2923384,989,329,integron integrase,GO:0003677; GO:0006310; GO:0015074,ko:K04763,NA
EIC30313.1,H8GLI5,,L,NZ_CM001475.1,chromosome,2938176,2938526,350,116,transposase,NA,ko:K07484,NA
EIC30316.1,H8GLI5,,L,NZ_CM001475.1,chromosome,2940815,2941165,350,116,transposase,NA,ko:K07484,NA
EIC30329.1,H8GLI5,,L,NZ_CM001475.1,chromosome,2950314,2950664,350,116,transposase,NA,ko:K07484,NA
EIC30354.1,H8GJJ4,,L,NZ_CM001475.1,chromosome,2980691,2981457,766,255,transposase,GO:0003677; GO:0004803; GO:0006313,ko:K07492,NA
EIC30382.1,H8GKC5,,L,NZ_CM001475.1,chromosome,3016314,3017270,956,318,"transposase, IS5 family",GO:0003677; GO:0004803; GO:0006313,ko:K07481,NA
EIC30410.1,H8GKB9,,L,NZ_CM001475.1,chromosome,3048703,3049809,1106,368,transposase,GO:0003677; GO:0004803; GO:0006313,NA,NA
EIC30413.1,H8GKC5,,L,NZ_CM001475.1,chromosome,3050331,3051287,956,318,"transposase, IS5 family",GO:0003677; GO:0004803; GO:0006313,ko:K07481,NA
EIC30416.1,H8GKC5,,L,NZ_CM001475.1,chromosome,3059513,3060469,956,318,"transposase, IS5 family",GO:0003677; GO:0004803; GO:0006313,ko:K07481,NA
EIC30458.1,H8GKG7,,L,NZ_CM001475.1,chromosome,3118521,3119576,1055,351,hypothetical protein Metal_2762,GO:0003677; GO:0004803; GO:0006313,NA,NA
EIC30459.1,H8GKG8,,L,NZ_CM001475.1,chromosome,3119983,3120456,473,157,"transposase, IS1 family",GO:0003677; GO:0004803; GO:0006313,ko:K07480,NA
EIC30460.1,H8GKG9,,L,NZ_CM001475.1,chromosome,3120422,3120736,314,104,transposase,NA,NA,NA
